Text,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day_of_Week,Clean_Text,Vader_Score,Sentiment,temp_list
 Enjoying a beautiful day at the park!              ,2023-01-15 12:30:00, User123      ,Twitter,15,30,USA,2023,January,Sunday,enjoy beauti day park,0.4939,positive,"['enjoy', 'beauti', 'day', 'park']"
 Traffic was terrible this morning.                 ,2023-01-15 08:45:00, CommuterX    ,Twitter,5,10,Canada,2023,January,Sunday,traffic terribl morn,0.0,neutral,"['traffic', 'terribl', 'morn']"
 Just finished an amazing workout! 💪               ,2023-01-15 15:45:00, FitnessFan   ,Instagram,20,40,USA,2023,January,Sunday,finish amaz workout,0.0,neutral,"['finish', 'amaz', 'workout']"
 Excited about the upcoming weekend getaway!        ,2023-01-15 18:20:00, AdventureX   ,Facebook,8,15,UK,2023,January,Sunday,excit upcom weekend getaway,0.0,neutral,"['excit', 'upcom', 'weekend', 'getaway']"
 Trying out a new recipe for dinner tonight.        ,2023-01-15 19:55:00, ChefCook     ,Instagram,12,25,Australia,2023,January,Sunday,tri new recip dinner tonight,0.0,neutral,"['tri', 'new', 'recip', 'dinner', 'tonight']"
 Feeling grateful for the little things in life.    ,2023-01-16 09:10:00, GratitudeNow ,Twitter,25,50,India,2023,January,Monday,feel grate littl thing life,0.0,neutral,"['feel', 'grate', 'littl', 'thing', 'life']"
 Rainy days call for cozy blankets and hot cocoa.   ,2023-01-16 14:45:00, RainyDays    ,Facebook,10,20,Canada,2023,January,Monday,raini day call cozi blanket hot cocoa,0.0,neutral,"['raini', 'day', 'call', 'cozi', 'blanket', 'hot', 'cocoa']"
 The new movie release is a must-watch!             ,2023-01-16 19:30:00, MovieBuff    ,Instagram,15,30,USA,2023,January,Monday,new movi releas mustwatch,0.0,neutral,"['new', 'movi', 'releas', 'mustwatch']"
 Political discussions heating up on the timeline.  ,2023-01-17 08:00:00, DebateTalk   ,Twitter,30,60,USA,2023,January,Tuesday,polit discuss heat timelin,0.0,neutral,"['polit', 'discuss', 'heat', 'timelin']"
 Missing summer vibes and beach days.               ,2023-01-17 12:20:00, BeachLover   ,Facebook,18,35,Australia,2023,January,Tuesday,miss summer vibe beach day,-0.1531,negative,"['miss', 'summer', 'vibe', 'beach', 'day']"
